FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,WORKDAY_OPER_TIME_DC,WKEND_OPER_TIME_DC,FRE_PARKNG_AT,VALET_PARKNG_POSBL_AT,INFN_CHAIR_LEND_POSBL_AT,WCHAIR_HOLD_AT,PET_POSBL_AT,VGTR_MENU_HOLD_AT,HALAL_FOOD_HOLD_AT,GFRE_FOOD_HOLD_AT,LAST_UPDT_DE
잇선,음식점/유흥시설,동남아시아음식,인도,서울특별시,동대문구,장안동,,167-32 번지,한천로24길,24,37.570228,127.066413,02626,서울특별시 동대문구 한천로24길 24,서울특별시 동대문구 장안동  167-32,050713941351,화-금 11시-21시30분,토-일 11시-21시30분,Y,N,N,N,N,N,N,N,20221130
잇쇼우,음식점/유흥시설,동아시아음식,일본,서울특별시,강남구,삼성동,,140-3 번지,선릉로,524,37.506749,127.04807,06161,서울특별시 강남구 선릉로 524,서울특별시 강남구 삼성동 140-3,025672082,월-금 11시-21시,토 11시-21시,N,N,N,N,N,N,N,N,20221130
잇츠,음식점/유흥시설,유럽음식,이탈리아,경기도,김포시,구래동,,6883-8 번지,김포한강9로,80,37.644057,126.626036,10071,경기도 김포시 김포한강9로 80,경기도 김포시 구래동  6883-8,050714117506,월-금 11시30분-02시,토-일 11시30분-02시,Y,N,N,N,Y,N,N,N,20221130
잇츠,음식점/유흥시설,유럽음식,이탈리아,경기도,부천시,심곡동,,175-9 번지,부천로9번길,24,37.485524,126.781732,14637,경기도 부천시 부천로9번길 24,경기도 부천시 심곡동  175-9,0326664999,월-금 11시30분-22시,토-일 11시30분-22시,Y,N,N,N,N,N,N,N,20221130
잇츠,음식점/유흥시설,유럽음식,이탈리아,경기도,부천시,역곡동,,80-4 번지,부일로,734,37.485588,126.811195,14673,경기도 부천시 부일로 734,경기도 부천시 역곡동  80-4,0323496200,"월,화,목,금 11시30분-22시30분",토-일 11시30분-22시30분,N,N,N,N,N,N,N,N,20221130
잇츠,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강동구,암사동,,461 번지,고덕로,52,37.554599,127.130606,05251,서울특별시 강동구 고덕로 52,서울특별시 강동구 암사동  461,07081522121,월-금 11시-22시,토-일 11시-22시,N,N,N,N,N,N,N,N,20221130
잇츠,음식점/유흥시설,유럽음식,이탈리아,인천광역시,남동구,구월동,,1471-1 번지,인하로507번길,9,37.443881,126.702583,21574,인천광역시 남동구 인하로507번길 9,인천광역시 남동구 구월동  1471-1,0324327500,월-금 11시30분-22시30분,토-일 11시30분-22시30분,N,N,N,N,N,N,N,N,20221130
잇츠 신정호수점,음식점/유흥시설,유럽음식,이탈리아,충청남도,아산시,기산동,,167-3 번지,순천향로,387,36.758528,126.968692,31559,충청남도 아산시 순천향로 387,충청남도 아산시 기산동  167-3,050713346002,화-금 10시-21시30분,토-일 10시-21시30분,Y,N,N,N,Y,N,N,N,20221130
잇츠굿,음식점/유흥시설,유럽음식,이탈리아,서울특별시,중구,저동2가,,48-27 번지,수표로,24,37.563399,126.990482,04555,서울특별시 중구 수표로 24,서울특별시 중구 저동2가  48-27,0222779705,07시-15시,07시-15시,N,N,N,N,N,N,N,N,20221130
잇츠빈,음식점/유흥시설,유럽음식,이탈리아,경기도,양평군,양서면,용담리,582-1 번지,양수로,117,37.541673,127.322093,12584,경기도 양평군 양수로 117,경기도 양평군 양서면 용담리 582-1,07077859892,,,Y,N,N,N,N,N,N,N,20221130
잇타이,음식점/유흥시설,동남아시아음식,태국,서울특별시,광진구,자양동,,7-34 번지,동일로20길,105,37.539789,127.069352,05073,서울특별시 광진구 동일로20길 105,서울특별시 광진구 자양동  7-34,0262121319,월-금 11시-22시,토-일 11시-22시,N,N,N,N,N,N,N,N,20221130
잇타이플러스 인천엘리웨이점,음식점/유흥시설,동남아시아음식,태국,인천광역시,미추홀구,도화동,,1011 번지,숙골로88번길,12,37.470074,126.664421,22101,인천광역시 미추홀구 숙골로88번길 12,인천광역시 미추홀구 도화동  1011,0327134588,,,N,N,N,N,N,N,N,N,20221130
잇타이플러스 파미어스몰,음식점/유흥시설,동남아시아음식,태국,경기도,성남시 수정구,시흥동,,288-2 번지,창업로,17,37.412177,127.09761,13449,경기도 성남시 수정구 창업로 17,경기도 성남시 수정구 시흥동  288-2,0317544988,월-금 11시-20시30분,토-일 11시-20시30분,N,N,N,N,N,N,N,N,20221130
잇타코,음식점/유흥시설,남미음식,인도,울산광역시,동구,일산동,,539-13 번지,번덕8길,99,35.50129,129.427787,44066,울산광역시 동구 번덕8길 99,울산광역시 동구 일산동  539-13,050714739850,월-금 12시-22시30분,일 12시-22시30분,Y,N,N,N,N,N,N,N,20221130
잇탈리,음식점/유흥시설,유럽음식,이탈리아,경기도,파주시,탄현면,법흥리,1652-247 번지,헤이리마을길,48-9,37.78795,126.698774,10859,경기도 파주시 헤이리마을길 48-9,경기도 파주시 탄현면 법흥리 1652-247,050713721448,월-금 11시-22시,토-일 11시-22시,Y,N,N,N,Y,N,N,N,20221130
잇텐고,음식점/유흥시설,동아시아음식,일본,서울특별시,마포구,합정동,,396-14 번지,포은로,11,37.54925,126.909247,04020,서울특별시 마포구 포은로 11,서울특별시 마포구 합정동 396-14,050714057715,"월,화,목,금 11시30분-21시30분",토-일 11시30분-21시30분,N,N,N,N,N,N,N,N,20221130
