FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,WORKDAY_OPER_TIME_DC,WKEND_OPER_TIME_DC,FRE_PARKNG_AT,VALET_PARKNG_POSBL_AT,INFN_CHAIR_LEND_POSBL_AT,WCHAIR_HOLD_AT,PET_POSBL_AT,VGTR_MENU_HOLD_AT,HALAL_FOOD_HOLD_AT,GFRE_FOOD_HOLD_AT,LAST_UPDT_DE
0731양꼬치,음식점/유흥시설,동아시아음식,인도,경기도,안산시 단원구,원곡동,,764-9 번지,관산길,3,37.331773,126.796648,15374,경기도 안산시 단원구 관산길 3,경기도 안산시 단원구 원곡동  764-9,,,,Y,N,N,N,N,N,N,N,20221130
08001BARCELONA,음식점/유흥시설,동남아시아음식,기타,충청남도,공주시,중동,,147-279 번지,제민천3길,78,36.455338,127.123165,32547,충청남도 공주시 제민천3길 78,충청남도 공주시 중동  147-279,050714783666,"화-목 17시-23시,금 17시-24시",토 17시-24시,Y,N,N,N,N,N,N,N,20221130
10.5INCH,음식점/유흥시설,유럽음식,이탈리아,경기도,수원시 팔달구,남창동,,113-5 번지,행궁로,43,37.278747,127.015355,16261,경기도 수원시 팔달구 행궁로 43,경기도 수원시 팔달구 남창동  113-5,,,,N,N,N,N,N,N,N,N,20221130
1000란무까타,음식점/유흥시설,동남아시아음식,기타,경기도,평택시,평택동,,291-9 번지,중앙2로,17,36.991785,127.088968,17909,경기도 평택시 중앙2로 17,경기도 평택시 평택동  291-9,,,,Y,N,N,N,N,N,N,N,20221130
100하노이쌀국수,음식점/유흥시설,동남아시아음식,베트남,서울특별시,중구,순화동,,217 번지,서소문로9길,28,37.563415,126.970594,04516,서울특별시 중구 서소문로9길 28,서울특별시 중구 순화동  217,023184246,월-금 10시-20시,토-일 10시-20시,N,N,N,N,N,N,N,N,20221130
1010아프리카유나이티드레스토랑,음식점/유흥시설,아프리카음식,아프리카,서울특별시,용산구,이태원동,,118-34 번지,이태원로,166,37.534206,126.992405,04391,서울특별시 용산구 이태원로 166,서울특별시 용산구 이태원동 118-34,07089554851,월-금 0시-24시,토-일 0시-24시,N,N,N,N,N,N,N,N,20221130
1011다이닝키친,음식점/유흥시설,유럽음식,이탈리아,광주광역시,남구,봉선동,,1011-20 번지,봉선1로36번길,1,35.127536,126.90933,61695,광주광역시 남구 봉선1로36번길 1,광주광역시 남구 봉선동  1011-20,050713271015,월-금 12시-22시,토 12시-14시30분,N,N,N,N,N,N,N,N,20221130
11어클락,음식점/유흥시설,유럽음식,이탈리아,경상남도,창원시 성산구,남양동,,27-7 번지,가양로116번길,14,35.207975,128.705967,51481,경상남도 창원시 성산구 가양로116번길 14,경상남도 창원시 성산구 남양동  27-7,0552627188,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
123포,음식점/유흥시설,동남아시아음식,베트남,경기도,파주시,문발동,,644 번지,문발로,284,37.71809,126.692539,10881,경기도 파주시 문발로 284,경기도 파주시 문발동  644,,,,Y,N,N,N,N,N,N,N,20221130
126,음식점/유흥시설,동남아시아음식,기타,서울특별시,광진구,구의동,,671 번지,광나루로39길,11,37.545494,127.088778,04977,서울특별시 광진구 광나루로39길 11,서울특별시 광진구 구의동  671,050713074825,화-금 11시-22시,"토 11시-22시,일 11시-15시",Y,N,N,N,N,N,N,N,20221130
128PAN,음식점/유흥시설,유럽음식,이탈리아,서울특별시,종로구,동숭동,,12-8 번지,동숭4길,14,37.583319,127.004397,03085,서울특별시 종로구 동숭4길 14,서울특별시 종로구 동숭동  12-8,,월-금 12시-22시,토-일 12시-22시,N,N,N,N,N,N,N,N,20221130
12키친,음식점/유흥시설,유럽음식,이탈리아,대구광역시,수성구,상동,,408-3 번지,무학로11길,10,35.830107,128.615133,42168,대구광역시 수성구 무학로11길 10,대구광역시 수성구 상동  408-3,0536528007,월-금 11시30분-22시,토-일 11시30분-22시,Y,N,N,N,N,N,N,N,20221130
13애비뉴,음식점/유흥시설,유럽음식,이탈리아,경기도,성남시 수정구,심곡동,,327-2 번지,심곡로,13,37.449276,127.103649,13103,경기도 성남시 수정구 심곡로 13,경기도 성남시 수정구 심곡동  327-2,0317180013,월-금 11시30분-22시,토-일 11시30분-22시,Y,N,N,N,N,N,N,N,20221130
17테이블,음식점/유흥시설,유럽음식,이탈리아,부산광역시,금정구,장전동,,302-13 번지,금정로60번길,20,35.22959,129.087277,46292,부산광역시 금정구 금정로60번길 20,부산광역시 금정구 장전동  302-13,050713941718,"월,화,목,금 12시-21시",토-일 12시-21시,N,N,N,N,N,N,N,N,20221130
1914 Lounge & Bar,음식점/유흥시설,유럽음식,이탈리아 프랑스,서울특별시,강남구,역삼동,,676 번지,테헤란로,231,37.502881,127.041357,06142,서울특별시 강남구 테헤란로 231,서울특별시 강남구 역삼동 676 센터필드,027277640,"월-수 10시-24시,목-금 10시-01시","토 10시-01시,일 10시-24시",N,N,N,N,N,Y,N,N,20221130
1968쌀국수,음식점/유흥시설,동남아시아음식,베트남,대구광역시,수성구,만촌동,,948-3 번지,국채보상로200길,23,35.864776,128.640529,42048,대구광역시 수성구 국채보상로200길 23,대구광역시 수성구 만촌동  948-3,050713242252,화-금 11시30분-22시,"토 11시30분-22시,일 12시-22시",N,N,N,N,N,N,N,N,20221130
1978Terrace,음식점/유흥시설,유럽음식,이탈리아,서울특별시,중구,예장동,,8-38 번지,소파로,95,37.556813,126.985348,04630,서울특별시 중구 소파로 95,서울특별시 중구 예장동 8-38 촛불 레스토랑,027561978,"월,화,목,금 11시-14시",토-일 11시-14시,Y,N,N,N,N,N,N,N,20221130
1984나폴리 남산본점,음식점/유흥시설,유럽음식,이탈리아,부산광역시,금정구,남산동,,992-13 번지,금샘로,461-1,35.26422,129.084834,46234,부산광역시 금정구 금샘로 461-1,부산광역시 금정구 남산동  992-13,0515171984,월-금 11시30분-21시30분,토-일 11시30분-21시30분,N,N,N,N,N,N,N,N,20221130
1984나폴리 동래직영점,음식점/유흥시설,유럽음식,이탈리아,부산광역시,동래구,온천동,,772-3 번지,중앙대로1381번길,56-3,35.211556,129.075076,47725,부산광역시 동래구 중앙대로1381번길 56-3,부산광역시 동래구 온천동  772-3,0515551984,"월,수-금 11시30분-21시",토-일 11시30분-21시,Y,N,N,N,N,N,N,N,20221130
1984나폴리 부산진역점,음식점/유흥시설,유럽음식,이탈리아,부산광역시,동구,수정동,,116-4 번지,고관로,90,35.126903,129.045162,48791,부산광역시 동구 고관로 90,부산광역시 동구 수정동  116-4,0514661984,화-금 11시30분-21시,토-일 11시30분-21시,Y,N,N,N,N,N,N,N,20221130
1984나폴리 서면본점,음식점/유흥시설,유럽음식,이탈리아,부산광역시,부산진구,전포동,,687-18 번지,전포대로209번길,17-6,35.155198,129.064135,47294,부산광역시 부산진구 전포대로209번길 17-6,부산광역시 부산진구 전포동  687-18,050714901985,"월,수-금 12시-22시",토-일 12시-22시,N,N,N,N,N,N,N,N,20221130
1984라벨라,음식점/유흥시설,유럽음식,이탈리아,부산광역시,부산진구,부전동,,168-391 번지,중앙대로680번가길,80-17,35.15694,129.061752,47292,부산광역시 부산진구 중앙대로680번가길 80-17,부산광역시 부산진구 부전동  168-391,,월-금 17시-02시,토 17시-02시,N,N,N,N,N,N,N,N,20221130
1988 오뎅바,음식점/유흥시설,동아시아음식,일본,부산광역시,남구,대연동,,40-3 번지,용소로13번길,61,35.137671,129.103616,48511,부산광역시 남구 용소로13번길 61,부산광역시 남구 대연동 40-3 아침햇살,050713470524,월-금 18시-03시,토 18시-03시,Y,N,N,N,N,N,N,N,20221130
1인1상,음식점/유흥시설,유럽음식,이탈리아,서울특별시,은평구,진관동,,219 번지,연서로,534,37.640992,126.937976,03308,서울특별시 은평구 연서로 534,서울특별시 은평구 진관동  219,023571111,화-금 11시-20시,토-일 11시-20시,Y,N,N,N,N,N,N,N,20221130
22.FEB,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,논현동,,254-30 번지,선릉로119길,6,37.513647,127.042135,06100,서울특별시 강남구 선릉로119길 6,서울특별시 강남구 논현동  254-30,050714074450,월-금 11시-22시,토 12시-21시,Y,N,N,N,N,N,N,N,20221130
299파스타,음식점/유흥시설,유럽음식,이탈리아,전라북도,전주시 완산구,고사동,,409-5 번지,전주객사4길,23-12,35.818758,127.143299,54999,전라북도 전주시 완산구 전주객사4길 23-12,전라북도 전주시 완산구 고사동  409-5,,,,Y,N,N,N,N,N,N,N,20221130
2층부엌,음식점/유흥시설,유럽음식,이탈리아,경상남도,진주시,중안동,,3-8 번지,촉석로186번길,4-1,35.194838,128.082351,52684,경상남도 진주시 촉석로186번길 4-1,경상남도 진주시 중안동 3-8,0557477222,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
303화덕,음식점/유흥시설,유럽음식,이탈리아,부산광역시,동래구,온천동,,303-4 번지,차밭골로,37,35.217131,129.077441,47706,부산광역시 동래구 차밭골로 37,부산광역시 동래구 온천동  303-4,0519447044,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
32AMICO,음식점/유흥시설,유럽음식,이탈리아,경기도,고양시 일산서구,탄현동,,1575-5 번지,산현로17번길,7-10,37.689839,126.76296,10343,경기도 고양시 일산서구 산현로17번길 7-10,경기도 고양시 일산서구 탄현동  1575-5,,,,N,N,N,N,N,N,N,N,20221130
4.2캐쥬얼다이닝,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,개포동,,1236-20 번지,논현로20길,4-11,37.477488,127.045617,06307,서울특별시 강남구 논현로20길 4-11,서울특별시 강남구 개포동  1236-20,025784242,월-금 10시-22시,토-일 10시-22시,N,N,N,N,N,N,N,N,20221130
402키친,음식점/유흥시설,유럽음식,이탈리아,서울특별시,마포구,창전동,,402-17 번지,독막로,140,37.547331,126.929139,04078,서울특별시 마포구 독막로 140,서울특별시 마포구 창전동  402-17,07081546868,월-금 10시30분-01시,토 10시30분-22시30분,Y,N,N,N,N,N,N,N,20221130
40호베트남쌀국수,음식점/유흥시설,동남아시아음식,베트남,경기도,평택시,통복동,,95-71 번지,통복시장2로9번길,7,36.996852,127.084014,17893,경기도 평택시 통복시장2로9번길 7,경기도 평택시 통복동  95-71,,,,N,N,N,N,N,N,N,N,20221130
420퍼스타보,음식점/유흥시설,동남아시아음식,베트남,서울특별시,중구,남대문로5가,,21-1 번지,세종대로,30,37.559017,126.974919,04527,서울특별시 중구 세종대로 30,서울특별시 중구 남대문로5가  21-1,0237891777,,,N,N,N,N,N,N,N,N,20221130
428레스토랑,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,삼성동,,113-5 번지,봉은사로,428,37.510841,127.046898,06153,서울특별시 강남구 봉은사로 428,서울특별시 강남구 삼성동 113-5,050713648880,월-금 11시30분-22시,"토 11시30분-22시,일 11시30분-21시",N,N,N,N,N,N,N,N,20221130
495도씨수완본점,음식점/유흥시설,유럽음식,이탈리아,광주광역시,광산구,장덕동,,1302 번지,장신로,85,35.191148,126.81934,62224,광주광역시 광산구 장신로 85,광주광역시 광산구 장덕동  1302,0629513177,월-금 11시-22시,토-일 11시-22시,Y,N,N,N,N,N,N,N,20221130
4SEED,음식점/유흥시설,유럽음식,이탈리아,서울특별시,종로구,평창동,,273-1 번지,평창8길,3,37.604545,126.966082,03011,서울특별시 종로구 평창8길 3,서울특별시 종로구 평창동 273-1,023957187,11시-22시,11시-22시,N,N,N,N,N,N,N,N,20221130
503TABLE,음식점/유흥시설,유럽음식,이탈리아,서울특별시,서초구,반포동,,107-65 번지,서래로5길,33,37.497804,126.996368,06575,서울특별시 서초구 서래로5길 33,서울특별시 서초구 반포동  107-65,050713711077,월-금 11시30분-22시,토-일 11시30분-22시,Y,N,N,N,N,N,N,N,20221130
505레스토랑,음식점/유흥시설,유럽음식,이탈리아,부산광역시,사하구,다대동,,257-3 번지,다대로,505,35.059837,128.974254,49522,부산광역시 사하구 다대로 505,부산광역시 사하구 다대동  257-3,050714885995,,,Y,N,N,N,N,N,N,N,20221130
515더오리지널,음식점/유흥시설,유럽음식,이탈리아,경기도,파주시,서패동,,183-1 번지,돌곶이길,95,37.714492,126.695853,10883,경기도 파주시 돌곶이길 95,경기도 파주시 서패동  183-1,0319440330,월-금 11시-21시,토-일 11시-21시,Y,N,N,N,N,N,N,N,20221130
55다이닝,음식점/유흥시설,유럽음식,이탈리아,대구광역시,중구,삼덕동1가,,55-21 번지,동성로5길,94-19,35.866077,128.59953,41942,대구광역시 중구 동성로5길 94-19,대구광역시 중구 삼덕동1가  55-21,0532145521,,,N,N,N,N,N,N,N,N,20221130
55도 와인포차,음식점/유흥시설,지중해음식,이탈리아 코카시안 프랑스,대전광역시,유성구,어은동,,100-5 번지,어은로57번길,51,36.362154,127.353872,34139,대전광역시 유성구 어은로57번길 51,대전광역시 유성구 어은동 100-5,0423891636,월-금 17시30분-02시,토-일 17시30분-02시,N,N,N,N,N,N,N,N,20221130
5테이블 운양본점,음식점/유흥시설,유럽음식,이탈리아,경기도,김포시,운양동,,1297-3 번지,김포한강11로,300,37.655363,126.682491,10073,경기도 김포시 김포한강11로 300,경기도 김포시 운양동  1297-3,0319975599,화-금 11시-22시,토-일 11시-22시,N,N,N,N,N,N,N,N,20221130
5GIL7BISTRO,음식점/유흥시설,유럽음식,이탈리아,서울특별시,중구,필동3가,,62-11 번지,필동로5길,7,37.556767,126.995937,04622,서울특별시 중구 필동로5길 7,서울특별시 중구 필동3가  62-11,0222720507,월-금 11시30분-22시,토-일 12시-20시30분,Y,N,N,N,N,N,N,N,20221130
5PAGE,음식점/유흥시설,유럽음식,이탈리아,경기도,고양시 덕양구,행신동,,1082-2 번지,중앙로,450,37.618466,126.845509,10486,경기도 고양시 덕양구 중앙로 450,경기도 고양시 덕양구 행신동  1082-2,0319741600,,,N,N,N,N,N,N,N,N,20221130
628파스타,음식점/유흥시설,유럽음식,이탈리아,대전광역시,유성구,죽동,,628-2 번지,은구비로155번길,32-9,36.379656,127.324865,34097,대전광역시 유성구 은구비로155번길 32-9,대전광역시 유성구 죽동  628-2,050713896282,"월,수-금 11시30분-22시",토-일 11시30분-22시,N,N,N,N,N,N,N,N,20221130
62QUAN,음식점/유흥시설,동남아시아음식,기타,서울특별시,은평구,갈현동,,400-4 번지,연서로29길,20-14,37.619637,126.918896,03330,서울특별시 은평구 연서로29길 20-14,서울특별시 은평구 갈현동  400-4,050713201908,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
72420,음식점/유흥시설,동남아시아음식,베트남,서울특별시,동작구,사당동,,1045-13 번지,남부순환로269길,13,37.477383,126.978202,07024,서울특별시 동작구 남부순환로269길 13,서울특별시 동작구 사당동  1045-13,025212420,월-금 11시30분-22시,토-일 11시30분-22시,N,N,N,N,N,N,N,N,20221130
72420 동탄본점,음식점/유흥시설,동남아시아음식,베트남,경기도,화성시,청계동,,536 번지,동탄대로시범길,134,37.199287,127.115411,18476,경기도 화성시 동탄대로시범길 134,경기도 화성시 청계동  536,0313737240,월-금 10시30분-22시,토-일 10시30분-22시,N,N,N,N,N,N,N,N,20221130
72420 목동점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,양천구,신정동,,1006-1 번지,오목로50길,23,37.523948,126.864389,08023,서울특별시 양천구 오목로50길 23,서울특별시 양천구 신정동  1006-1,0226995763,화-금 11시30분-21시,토-일 11시30분-21시,N,N,N,N,N,N,N,N,20221130
72420 미아사거리점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,성북구,길음동,,1288 번지,숭인로,50,37.612311,127.028554,02727,서울특별시 성북구 숭인로 50,서울특별시 성북구 길음동  1288,029899004,월-금 11시30분-21시,토-일 11시30분-21시,N,N,N,N,N,N,N,N,20221130
72420 사당본점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,동작구,사당동,,1039-16 번지,동작대로1길,50,37.477419,126.978643,07025,서울특별시 동작구 동작대로1길 50,서울특별시 동작구 사당동 1039-16 중동빌딩,025212420,월-금 11시30분-21시30분,토-일 11시30분-21시30분,N,N,N,N,N,N,N,N,20221130
72420 성신여대점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,성북구,동선동1가,,121-4 번지,동소문로24길,13,37.593119,127.018742,02845,서울특별시 성북구 동소문로24길 13,서울특별시 성북구 동선동1가  121-4,050713340303,화-금 11시30분-22시,토-일 11시30분-22시,N,N,N,N,N,N,N,N,20221130
72420 송파직영점,음식점/유흥시설,동남아시아음식,베트남,서울특별시,송파구,송파동,,51-10 번지,백제고분로45길,12,37.509638,127.110198,05619,서울특별시 송파구 백제고분로45길 12,서울특별시 송파구 송파동  51-10,024172420,월-금 11시30분-22시,토-일 11시30분-22시,N,N,N,N,N,N,N,N,20221130
72420 수원직영점,음식점/유흥시설,동남아시아음식,베트남,경기도,수원시 팔달구,화서동,,726-4 번지,일월로18번길,14,37.285363,126.981119,16424,경기도 수원시 팔달구 일월로18번길 14,경기도 수원시 팔달구 화서동  726-4,050713132420,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
72TACO,음식점/유흥시설,남미음식,멕시코,서울특별시,마포구,상수동,,341-4 번지,와우산로3길,11,37.545989,126.922373,04074,서울특별시 마포구 와우산로3길 11,서울특별시 마포구 상수동  341-4,07082792131,월-금 12시-24시,토-일 12시-24시,N,N,N,N,N,N,N,N,20221130
730카레,음식점/유흥시설,동아시아음식,일본,세종특별자치시,,보람동,,743 번지,한누리대로,2135,36.478348,127.28915,30150,세종특별자치시  한누리대로 2135,세종특별자치시  보람동  743,050713606399,월-금 11시-20시,휴무,Y,N,N,N,N,N,N,N,20221130
79파운야드,음식점/유흥시설,유럽음식,기타,충청남도,천안시 서북구,두정동,,971 번지,두정로,171,36.833969,127.13613,31100,충청남도 천안시 서북구 두정로 171,충청남도 천안시 서북구 두정동  971,07088024440,월-금 12시-23시30분,토-일 12시-23시30분,N,N,N,N,N,N,N,N,20221130
7PM,음식점/유흥시설,동남아시아음식,베트남 태국,대구광역시,수성구,만촌동,,948-3 번지,국채보상로200길,23,35.864761,128.640515,42048,대구광역시 수성구 국채보상로200길 23,대구광역시 수성구 만촌동 948-3,0539650822,화-금 11시30분-22시,"토 11시30분-22시,일 12시-22시",Y,N,N,N,N,N,N,N,20221130
7STREET,음식점/유흥시설,남미음식,멕시코,세종특별자치시,,조치원읍,침산리,272-8 번지,행복7길,9-14,36.602376,127.291445,30021,세종특별자치시  행복7길 9-14,세종특별자치시  조치원읍 침산리 272-8,050713158001,월-금 17시-01시,토-일 17시-01시,N,N,N,N,N,N,N,N,20221130
808웨스트도어,음식점/유흥시설,유럽음식,이탈리아,울산광역시,남구,옥동,,581-10 번지,법대로87번길,3,35.536932,129.288294,44645,울산광역시 남구 법대로87번길 3,울산광역시 남구 옥동  581-10,0522211918,월-금 11시-22시,토 11시-17시,N,N,N,N,N,N,N,N,20221130
832L레스토랑,음식점/유흥시설,유럽음식,이탈리아,강원도,정선군,고한읍,고한리,5-26 번지,함백산로,1445-44,37.185298,128.882002,26157,강원도 정선군 함백산로 1445-44,강원도 정선군 고한읍 고한리 5-26,0335913001,,,N,N,N,N,N,N,N,N,20221130
8482,음식점/유흥시설,동남아시아음식,기타,대전광역시,서구,탄방동,,91-10 번지,도솔로,408,36.342179,127.390135,35264,대전광역시 서구 도솔로 408,대전광역시 서구 탄방동  91-10,050713702088,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
88버거,음식점/유흥시설,북미음식,미국,제주특별자치도,서귀포시,서귀동,,255-9 번지,동문로,63,33.249248,126.567122,63590,제주특별자치도 서귀포시 동문로 63,제주특별자치도 서귀포시 서귀동 255-9,0647338488,"월-수,금 10시-21시",토-일 10시-21시,N,N,N,N,N,N,N,N,20221130
8월의 중식 동두천점,음식점/유흥시설,동아시아음식,중국,경기도,동두천시,지행동,,719 번지,중앙로,110-9,37.891627,127.053036,11350,경기도 동두천시 중앙로 110-9,경기도 동두천시 지행동  719,0319287379,,,N,N,N,N,N,N,N,N,20221130
9292양꼬치,음식점/유흥시설,동아시아음식,중국,경기도,안산시 단원구,초지동,,802 번지,화랑로,159,37.324042,126.806189,15386,경기도 안산시 단원구 화랑로 159,경기도 안산시 단원구 초지동  802,050713338891,월-금 13시-02시,토-일 13시-02시,Y,N,N,N,N,N,N,N,20221130
92AVENUE,음식점/유흥시설,유럽음식,이탈리아,서울특별시,광진구,자양동,,216-16 번지,아차산로,392,37.536993,127.086304,05051,서울특별시 광진구 아차산로 392,서울특별시 광진구 자양동  216-16,07042450064,,,Y,N,N,N,N,N,N,N,20221130
938,음식점/유흥시설,유럽음식,이탈리아,울산광역시,중구,성남동,,191-28 번지,젊음의거리,27-2,35.553736,129.317942,44532,울산광역시 중구 젊음의거리 27-2 1층,울산광역시 중구 성남동 191-28,,화-금 12시-21시,토-일 12시-21시,N,N,N,N,N,N,N,N,20221130
98양꼬치,음식점/유흥시설,동아시아음식,중국,서울특별시,구로구,구로동,,722-5 번지,구로동로,111,37.488532,126.884361,08316,서울특별시 구로구 구로동로 111,서울특별시 구로구 구로동  722-5,07081512224,,,N,N,N,N,N,N,N,N,20221130
가나샤브샤브,음식점/유흥시설,동아시아음식,일본,대전광역시,유성구,신성동,,147-6 번지,신성로84번길,49,36.389038,127.351283,34116,대전광역시 유성구 신성로84번길 49,대전광역시 유성구 신성동 147-6,0428629288,월-금 11시30분-21시,휴무,N,N,N,N,N,N,N,N,20221130
가남지,음식점/유흥시설,동남아시아음식,베트남,대전광역시,유성구,도룡동,,395-1 번지,대덕대로,588,36.385492,127.378888,34121,대전광역시 유성구 대덕대로 588,대전광역시 유성구 도룡동 395-1,0428617557,월-금 11시30분-21시,토 11시30분-21시,N,N,N,N,N,N,N,N,20221130
가네끼스시,음식점/유흥시설,동아시아음식,일본,서울특별시,동작구,신대방동,,395-69 번지,보라매로5가길,16,37.491312,126.924119,07071,서울특별시 동작구 보라매로5가길 16,서울특별시 동작구 신대방동  395-69,028313472,월-금 12시-22시,토 12시-22시,Y,N,N,N,N,N,N,N,20221130
가네샤,음식점/유흥시설,인도아시아음식,인도,서울특별시,관악구,신림동,,1538-14 번지,대학길,46,37.468722,126.937587,08813,서울특별시 관악구 대학길 46,서울특별시 관악구 신림동  1538-14,0261239799,월-금 11시-21시,토-일 11시-21시,N,N,N,N,N,N,N,N,20221130
가데나,음식점/유흥시설,유럽음식,이탈리아,대전광역시,유성구,반석동,,465 번지,반석로,136-6,36.389757,127.299722,34065,대전광역시 유성구 반석로 136-6,대전광역시 유성구 반석동  465,050713846100,월-금 11시30분-21시30분,"토 11시30분-21시30분,일 11시30분-21시",Y,N,N,N,N,N,N,N,20221130
가드너아드리아,음식점/유흥시설,유럽음식,이탈리아,서울특별시,강남구,신사동,,648-20 번지,압구정로46길,73,37.523955,127.03665,06020,서울특별시 강남구 압구정로46길 73,서울특별시 강남구 신사동  648-20,025494698,월-금 11시30분-23시,토-일 11시30분-23시,N,N,N,N,N,N,N,N,20221130
가또부오노,음식점/유흥시설,유럽음식,이탈리아,서울특별시,서초구,서초동,,1304-2 번지,강남대로,449,37.502417,127.025074,06611,서울특별시 서초구 강남대로 449,서울특별시 서초구 서초동  1304-2,,,,N,N,N,N,N,N,N,N,20221130
가르모니아,음식점/유흥시설,동남아시아음식,기타,경기도,안산시 상록구,이동,,715-3 번지,광덕1로,375,37.30844,126.850952,15494,경기도 안산시 상록구 광덕1로 375,경기도 안산시 상록구 이동  715-3,050713679698,화-금 10시-22시,토-일 10시-23시,N,N,N,N,N,N,N,N,20221130
가미우동,음식점/유흥시설,동아시아음식,일본,서울특별시,마포구,서교동,,346-31 번지,홍익로2길,23,37.554682,126.923858,04055,서울특별시 마포구 홍익로2길 23,서울특별시 마포구 서교동 346-31,023223302,화-금 11시30분-20시30분,토-일 11시30분-20시30분,N,N,N,N,N,N,N,N,20221130
가미초밥,음식점/유흥시설,동아시아음식,일본,인천광역시,동구,송림동,,20-8 번지,샛골로210번길,9,37.480953,126.646385,22534,인천광역시 동구 샛골로210번길 9,인천광역시 동구 송림동 20-8,0327661160,월-금 11시-22시,토-일 11시-22시,N,N,N,N,N,N,N,N,20221130
가보,음식점/유흥시설,동아시아음식,중국,충청남도,태안군,태안읍,남문리,721-18 번지,군청8길,14-1,36.744999,126.300479,32144,충청남도 태안군 태안읍 군청8길 14-1,충청남도 태안군 태안읍 남문리 721-18,0416722600,월-금 10시30분-21시,토-일 10시30분-21시,N,N,N,N,N,N,N,N,20221130
가비,음식점/유흥시설,북미음식,미국 이탈리아 프랑스,부산광역시,해운대구,중동,,149-1 번지,좌동순환로8번길,78,35.169633,129.170166,48082,부산광역시 해운대구 좌동순환로8번길 78 상가동 5호,부산광역시 해운대구 중동 149-1,0518081655,월-금 17시30분-24시,토 17시30분-24시,Y,N,N,Y,N,N,N,N,20221130
가스트로 통,음식점/유흥시설,유럽음식,스위스 유럽,서울특별시,종로구,통의동,,25-2 번지,자하문로6길,11-36,37.578656,126.972608,03044,서울특별시 종로구 자하문로6길 11-36,서울특별시 종로구 통의동 25-2,027304162,월-금 11시30분-22시,"토 11시30분-22시,일 12시-21시30분",Y,N,Y,N,N,N,N,N,20221130
가스트로놈넘버원,음식점/유흥시설,동남아시아음식,기타,경기도,안산시 상록구,사동,,1571-3 번지,한양대학로,26-1,37.301532,126.840438,15578,경기도 안산시 상록구 한양대학로 26-1,경기도 안산시 상록구 사동  1571-3,,,,N,N,N,N,N,N,N,N,20221130
가이아 레스토랑,음식점/유흥시설,유럽음식,이탈리아,인천광역시,중구,운서동,,3098-1 번지,영종대로196번길,19,37.490599,126.499521,22376,인천광역시 중구 영종대로196번길 19,인천광역시 중구 운서동 3098-1,0328321532,11시-21시,11시-21시,N,N,N,N,N,N,N,N,20221130
가쯔레쯔 인천시청점,음식점/유흥시설,동아시아음식,일본,인천광역시,남동구,구월동,,1136-14 번지,미래로,45,37.454248,126.704153,21557,인천광역시 남동구 미래로 45,인천광역시 남동구 구월동 1136-14 벤처빌딩,0324320204,월-금 11시-21시30분,토-일 11시-21시30분,Y,N,N,N,N,N,N,N,20221130
가향,음식점/유흥시설,동아시아음식,중국,경기도,안양시 동안구,관양동,,1511-6 번지,흥안대로514번길,16,37.399881,126.9782,13943,경기도 안양시 동안구 흥안대로514번길 16,경기도 안양시 동안구 관양동 1511-6,050700907070,월-금 10시-22시,토-일 10시-22시,N,N,N,N,N,N,N,N,20221130
간사이일식,음식점/유흥시설,동아시아음식,일본,대전광역시,유성구,봉명동,,445-19 번지,온천서로,8-13,36.354996,127.340245,34168,대전광역시 유성구 온천서로 8-13,대전광역시 유성구 봉명동 445-19,0428255561,월-금 11시-23시,토-일 11시-23시,N,N,N,N,N,N,N,N,20221130
간지츠,음식점/유흥시설,동아시아음식,일본,부산광역시,해운대구,우동,,1456 번지,센텀동로,67,35.17447,129.128803,48059,부산광역시 해운대구 센텀동로 67,부산광역시 해운대구 우동 1456 굿센텀,0517473035,월-금 11시-02시,토-일 11시-02시,N,N,N,N,N,N,N,N,20221130
갈리나데이지,음식점/유흥시설,유럽음식,이탈리아,서울특별시,종로구,통인동,,118-8 번지,자하문로13길,1-4,37.579884,126.970954,03036,서울특별시 종로구 자하문로13길 1-4,서울특별시 종로구 통인동  118-8,050714471294,월-금 12시-22시,토 12시-21시,Y,N,N,N,N,N,N,N,20221130
